year,title,type,season,actors
1975,日剧,秋,血疑,三浦友和 山口百惠 宇津井健
1993,日剧,秋,爱情白皮书,石田光 木村拓哉 西岛秀俊
1994,日剧,冬,爱没有明天,铃木保奈美
1994,日剧,秋,东京仙履奇缘,和久井映见 唐泽寿明
1995,日剧,春,典雅的人间三部曲,松隆子
1996,日剧,春,蜥蜴女孩,菅野美穗
1996,日剧,秋,我一個人住,常盘贵子 矢田亚希子 高桥克典
1997,日剧,冬,跳跃大搜查,织田裕二 柳叶敏郎 水野美纪
1997,日剧,夏,海滩男孩,竹野内丰 反町隆史 广末凉子
1997,日剧,春,别叫我总理,田村正和 铃木保奈美 佐藤蓝子
1999,日剧,春,魔女的条件,松岛菜菜子 泷泽秀明 黑木瞳
2000,日剧,春,池袋西口公园,长濑智也 加藤爱 洼冢洋介 山下智久
2001,日剧,冬,不平则鸣,常盘贵子 深津绘里 山下智久
2001,日剧,春,女婿大人,长濑智也 酒井法子
2002,日剧,冬,漂流教室,常盘贵子 山田孝之 山下智久
2002,日剧,夏,不需要爱的夏天,渡部笃郎 广末凉子
2002,日剧,秋,HR,香取慎吾 篠原涼子 酒井美纪 生濑胜久
2003,日剧,冬,永远在一起,伊藤英明 松隆子
2003,日剧,夏,StandUp,山下智久 成宫宽贵 小栗旬
2004,日剧,夏,人证,竹野内丰 大杉涟 夏川结衣 松下奈绪 堀北真希
2004,日剧,夏,水男孩2,市原隼人 石原里美 小池彻平
2004,日剧,夏,逃亡者,江口洋介 阿部宽 长泽雅美
2004,日剧,春,橙色岁月,妻夫木聪 柴崎幸 成宫宽贵 白石美帆 瑛太 上野树里
2004,日剧,春,离婚女律师,天海佑希 玉山铁二 佐佐木藏之介
2004,日剧,秋,Hotman,反町隆史 小西真奈美
2005,日剧,冬,H2,山田孝之 市川由衣 石原里美
2005,日剧,冬,不开心的基因,竹内结子 小田切让
2005,日剧,夏,一起加油吧,相武纱季 锦户亮
2005,日剧,夏,电车男,伊藤淳史 伊东美咲 速水重道
2005,日剧,春,牵绊的爱,市原隼人 绫濑遥 神木隆之介
2006,日剧,冬,Unfair,筱原凉子 瑛太
2006,日剧,冬,时效警察,小田切让 麻生久美子
2006,日剧,夏,PS罗生门,木村佳乃
2006,日剧,夏,恋爱补给品,伊东美咲 龟梨和也 瑛太 白石美帆
2006,日剧,春,勇气,龟梨和也 小栗旬
2006,日剧,秋,交响情人梦,上野树里 玉木宏 水川麻美 小出惠介 瑛太
2006,日剧,秋,水手服与机关枪,长泽雅美 小泉今日子 堤真一
2007,日剧,冬,敬启父亲大人,二宫和也 高岛礼子 黑木明纱 松重丰 高桥克实
2007,日剧,冬,派遣员的品格,筱原凉子 大泉洋 小泉孝太郎
2007,日剧,夏,向牛许愿,户田惠梨香 相武纱季
2007,日剧,夏,回归的时效警察,小田切让 麻生久美子
2007,日剧,夏,父女七日变,新垣结衣
2007,日剧,夏,结不了婚的男人,阿部宽 夏川结衣 国仲凉子
2007,日剧,春,七彩音和若波,松山研一
2007,日剧,春,开什么玩笑,织田裕二 上野树里
2007,日剧,春,诈欺游戏,松田翔太 户田惠梨香
2007,日剧,秋,歌姬,长濑智也 相武纱季
2007,日剧,秋,神探伽利略,福山雅治 柴崎幸
2008,日剧,冬,一磅的福音,龟梨和也 黑木明纱
2008,日剧,冬,没有玫瑰的花店,香取慎吾 八木优希 竹内结子 松田翔太 三浦友和
2008,日剧,夏,Code Blue1,山下智久 新垣结衣 户田惠梨香 比嘉爱未
2008,日剧,夏,魔王,大野智 生田斗真 吉濑美智子 田中圭
2008,日剧,-,笃姬,宫崎葵
2008,日剧,春,料理仙姬,苍井优 向井理 杉本哲太 余贵美子
2008,日剧,秋,藤子不二雄的并行空间,要润 长泽雅美 麻生久美子
2009,日剧,冬,亡者之声,生田斗真 瑛太 石原里美 田中圭 时任三郎
2009,日剧,夏,乌龙派出所,香取慎吾 香里奈 速水重道
2009,日剧,夏,华丽的间谍,长濑智也 深田恭子 杏
2009,日剧,夏,双头魔犬,锦户亮 泷泽秀明 水川麻美
2009,日剧,夏,粉红系男孩,夏帆 冈田将生 武井咲 桐谷美玲
2009,日剧,-,天地人,阿部宽 妻夫木聪 常盘贵子 高岛礼子
2009,日剧,春,BOSS,天海佑希 竹野内丰 户田惠梨香
2009,日剧,春,MR.BRAIN,木村拓哉 绫濑遥
2009,日剧,春,白色之春,阿部宽
2009,日剧,秋,不毛地带,唐泽寿明 小雪 多部未华子
2009,日剧,秋,东京狗,水嶋宏 小栗旬
2009,日剧,秋,仁医,大泽隆夫 中谷美纪 绫濑遥
2009,日剧,秋,密不可触,仲间由纪惠 要润
2009,日剧,秋,小公主萨拉,志田未来 林遣都 田边诚一 忽那汐里
2009,日剧,秋,真我霓裳,黑木瞳 香里奈
2010,日剧,冬,Code Blue2,山下智久 新垣结衣 户田惠梨香 比嘉爱未
2010,日剧,冬,决定不哭的日子,要润 荣仓奈奈 藤木直人
2010,日剧,冬,完美小姐进化论,龟梨和也 大政绚
2010,日剧,冬,正义代书战士,堀北真希 樱井翔
2010,日剧,夏,GOLD,天海佑希 反町隆史 长泽雅美 武井咲
2010,日剧,夏,十年后我依然爱你,上户彩 内野圣阳 木南晴夏
2010,日剧,夏,日本人不知道的日语,仲里依纱
2010,日剧,夏,萤之光2,藤木直人 绫濑遥
2010,日剧,夏,虹色夏恋,松本润 竹内结子
2010,日剧,夏,逃亡律师,上地雄辅 石原里美 北村一辉 矢田亚希子
2010,日剧,夏,钢之女,吉濑美智子 八木优希
2010,日剧,春,国税监察官,江口洋介 麻生久美子
2010,日剧,春,圈套外传~警部补·矢部谦三,生濑胜久
2010,日剧,春,我的家史,柴崎幸 长泽雅美 松本润
2010,日剧,春,新参者,阿部宽 香川照之 杏
2010,日剧,春,月之恋人,木村拓哉 林志玲 松田翔太 筱原凉子
2010,日剧,春,毕业之歌-毕业写真,志田未来 国仲凉子 长泽雅美
2010,日剧,秋,SPEC,户田惠梨香 加濑亮
2010,日剧,秋,和恶魔契约的女人,唐泽寿明 玉木宏
